anio,semana_epi,codigo_provincia,provincia,casos_sin_alarma,casos_con_alarma,casos_graves,casos_dengue_total,hospitalizados,fallecidos,tasa_incidencia_dengue_x100k,temp_max_c,temp_min_c,temp_mean_c,rango_diurno_temp_dtr,humedad_relativa_pct,precipitacion_mm,spec_hum_gkg,dewpt_c,precip_mm,soil_moist_pct,elev_m,slope_deg,indice_viento_m_s,poblacion_total,densidad_poblacional_km2,indice_urbanismo,acceso_agua_potable,escasez_agua,ndvi,evi,ndwi,lst_day_c,lst_night_c,et_mm
2019,5,16,Pastaza,0,0,0,0,0,0,0,,,,,,,,,,,,,,108179,3.648535575,0.321736602,1750,0.983823108,,,,,,
2019,5,17,Pichincha,2,1,0,3,2,0,0.094635313,,,,,,,,,,,,,,3170064,331.215789,0.497413323,731,0.999769405,,,,,,
2019,5,18,Tungurahua,0,0,0,0,0,0,0,,,,,,,,,,,,,,566737,166.8265414,0.50586099,11515,0.979681934,,,,,,
2019,5,19,Zamora Chinchipe,0,0,0,0,0,0,0,,,,,,,,,,,,,,111300,10.19586699,0.61511111,4665,0.958086253,,,,,,
2019,5,20,Galápagos,0,0,0,0,0,0,0,,,,,,,,,,,,,,28530,3.559203904,0.946281764,2320,0.918682089,,,,,,
2019,5,21,Sucumbíos,0,0,0,0,0,0,0,,,,,,,,,,,,,,206756,11.44015077,0.147710774,5400,0.973882257,,,,,,
2019,5,22,Orellana,0,1,0,1,0,0,0.570327026,,,,,,,,,,,,,,175338,8.036015425,0.141917977,0,1,,,,,,
2019,5,23,Santo Domingo de los Tsáchilas,1,0,0,1,0,0,0.200233071,,,,,,,,,,,,,,499418,144.3058731,0.65311111,0,1,,,,,,
2019,5,24,Santa Elena,0,0,0,0,0,0,0,,,,,,,,,,,,,,386955,104.14785,0.282193752,2783,0.992807949,,,,,,
2019,6,1,Azuay,0,0,0,0,0,0,0,,,,,,,,,,,,,,820239,98.10791688,0.572915823,4195,0.994885637,,,,,,
2019,6,2,Bolívar,0,0,0,0,0,0,0,,,,,,,,,,,,,,209046,52.77167853,0.083481647,5,0.999976082,,,,,,
2019,6,3,Cañar,0,0,0,0,0,0,0,,,,,,,,,,,,,,237967,75.31383943,0.260053475,13590,0.942891241,,,,,,
2019,6,4,Carchi,0,0,0,0,0,0,0,,,,,,,,,,,,,,183616,52.36150034,0.229477363,28,0.999847508,,,,,,
